scenario,sample_id,architecture,method,status,error_px,iou,angular_error_deg,scale_ratio_error,runtime_ms,score,failure_mode
edge_brightening=0.0,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.4890809160258665,0.9683147714051888,90.00764297990565,0.016228893335453964,291.92100199998094,0.6336621082708294,scale_orientation_error
edge_brightening=0.0,finfet_0000,finfet,NCC,ok,28.048624757337226,0.4148133493968244,45.0,0.25,57.07598499975575,0.5531253926455975,false_positive
edge_brightening=0.0,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,48.7922620000063,,missed_detection
edge_brightening=0.0,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.9281431790949942,0.9656293421046123,90.53270887314869,0.01652202551840709,280.5004890001328,0.7411776209201818,scale_orientation_error
edge_brightening=0.1,dram_0000,dram,NCC,ok,13.602940819637643,0.6547807606524204,45.0,0.0,54.83213299976342,0.5748304650187492,scale_orientation_error
edge_brightening=0.1,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,49.895991000084905,,missed_detection
edge_brightening=0.1,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.785690904549593,0.9784073259078067,90.59586532324346,0.004035153954122572,279.64078800005154,0.7398681163498876,scale_orientation_error
edge_brightening=0.1,finfet_0000,finfet,NCC,ok,28.048624757337226,0.4148133493968244,45.0,0.25,52.992169999924954,0.5507957898080349,false_positive
edge_brightening=0.1,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,46.50360199957504,,missed_detection
edge_brightening=0.1,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.789568797547238,0.9705516720351878,90.25815537155052,0.014657071121171428,285.04507000025114,0.7272560802241059,scale_orientation_error
edge_brightening=0.2,dram_0000,dram,NCC,ok,13.602940819637643,0.6547807606524204,45.0,0.0,54.946122000274045,0.569275751709938,scale_orientation_error
edge_brightening=0.2,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,46.45340800016129,,missed_detection
edge_brightening=0.2,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.9072696642648561,0.9694256143731766,90.50299695090496,0.013675047026975973,276.81037299998934,0.7639343139359299,scale_orientation_error
edge_brightening=0.2,finfet_0000,finfet,NCC,ok,26.671828999306918,0.4268153614806358,45.0,0.25,53.02364699991813,0.5525986589491367,false_positive
edge_brightening=0.2,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,54.87395399995876,,missed_detection
edge_brightening=0.2,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.8157045654550968,0.9721869535897967,89.81691726815649,0.01342976338822155,292.1218759997828,0.6503151995552812,scale_orientation_error
edge_brightening=0.4,dram_0000,dram,NCC,ok,18.411347186995464,0.6136348700150445,45.0,0.0,59.12160300022151,0.5597052946686745,scale_orientation_error
edge_brightening=0.4,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,55.26620199998433,,missed_detection
edge_brightening=0.4,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.749419838209718,0.9743177414319573,89.82532854710644,0.01284350955335345,287.71505099985006,0.7148465324295742,scale_orientation_error
edge_brightening=0.4,finfet_0000,finfet,NCC,ok,26.671828999306918,0.4268153614806358,45.0,0.25,54.353812000044854,0.5547806844115257,false_positive
edge_brightening=0.4,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,47.127809999892634,,missed_detection
edge_brightening=0.4,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,82.18676109303335,0.0,143.0119918591933,468.7156662655877,323.08975800015105,0.19,false_positive
edge_brightening=0.6,dram_0000,dram,NCC,ok,231.34652391946284,0.0,45.0,0.25,54.40208399977564,0.5642961412668228,false_positive
edge_brightening=0.6,dram_0000,dram,ORB-RANSAC,no_candidate,,,,,48.135946999991575,,missed_detection
edge_brightening=0.6,dram_0000,dram,HYBRID-CONFIDENCE,ok,0.8398921311045953,0.973529560454727,88.95575529575103,0.004866488049799167,297.1699439999611,0.6636591333204226,scale_orientation_error
edge_brightening=0.6,finfet_0000,finfet,NCC,ok,24.727864223827268,0.4422919343434268,45.0,0.25,60.99591700012752,0.5520901903510094,false_positive
edge_brightening=0.6,finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,54.871922000074846,,missed_detection
edge_brightening=0.6,finfet_0000,finfet,HYBRID-CONFIDENCE,ok,1.5440559078607012,0.9574344480558827,90.60804891687894,0.004414732321707193,325.7130340002732,0.5019264981591771,scale_orientation_error
"noise_pair=(0.0, 0.0)",dram_0000,dram,NCC,ok,13.680240613125669,0.6542029085023887,45.0,0.0,54.02059800007919,0.5703983381390572,scale_orientation_error
"noise_pair=(0.0, 0.0)",dram_0000,dram,ORB-RANSAC,no_candidate,,,,,41.844021000088105,,missed_detection
"noise_pair=(0.0, 0.0)",dram_0000,dram,HYBRID-CONFIDENCE,ok,1.0898547635968108,0.9566787155331697,90.33565997889247,0.021891429378391836,295.8654670001124,0.7401475838113578,scale_orientation_error
"noise_pair=(0.0, 0.0)",finfet_0000,finfet,NCC,ok,26.671828999306918,0.4268153614806358,45.0,0.25,53.60608200044226,0.5529243350028992,false_positive
"noise_pair=(0.0, 0.0)",finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,40.36720799967952,,missed_detection
"noise_pair=(0.0, 0.0)",finfet_0000,finfet,HYBRID-CONFIDENCE,ok,0.7292832167994349,0.9620768490450886,89.54454398252847,0.019048353369013116,312.1660580000025,0.6935153151777026,scale_orientation_error
"noise_pair=(2.0, 5.0)",dram_0000,dram,NCC,ok,13.602940819637643,0.6547807606524204,45.0,0.0,53.49502699982622,0.5691045224666595,scale_orientation_error
"noise_pair=(2.0, 5.0)",dram_0000,dram,ORB-RANSAC,no_candidate,,,,,48.318877999918186,,missed_detection
"noise_pair=(2.0, 5.0)",dram_0000,dram,HYBRID-CONFIDENCE,ok,1.3201775815751169,0.9457743453919375,91.83301862365755,0.021638712812086958,265.5698929997925,0.7180776201076166,scale_orientation_error
"noise_pair=(2.0, 5.0)",finfet_0000,finfet,NCC,ok,26.671828999306918,0.4268153614806358,45.0,0.25,60.14583499973014,0.5529280081391335,false_positive
"noise_pair=(2.0, 5.0)",finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,49.99045600015961,,missed_detection
"noise_pair=(2.0, 5.0)",finfet_0000,finfet,HYBRID-CONFIDENCE,ok,1.1008527456491932,0.9562604122965302,90.64145625014885,0.02164924615102326,297.09054100021604,0.6605456553510494,scale_orientation_error
"noise_pair=(5.0, 10.0)",dram_0000,dram,NCC,ok,13.602940819637643,0.6547807606524204,45.0,0.0,54.823859999942215,0.56953364610672,scale_orientation_error
"noise_pair=(5.0, 10.0)",dram_0000,dram,ORB-RANSAC,no_candidate,,,,,48.470243999872764,,missed_detection
"noise_pair=(5.0, 10.0)",dram_0000,dram,HYBRID-CONFIDENCE,ok,1.020717241317903,0.9655826214432036,91.54136128856271,0.005371883318924797,292.7495829999316,0.7304913449766463,scale_orientation_error
"noise_pair=(5.0, 10.0)",finfet_0000,finfet,NCC,ok,26.671828999306918,0.4268153614806358,45.0,0.25,56.33142999977281,0.5525432676076889,false_positive
"noise_pair=(5.0, 10.0)",finfet_0000,finfet,ORB-RANSAC,no_candidate,,,,,57.65320700038501,,missed_detection
